,Title,url,Rank,Years of running,Certificate,Run time in minutes,Genre,Rating,Actors,Votes,Synopsis
69,Smallville,/title/tt0279600/?ref_=ttls_li_tt,70,(2001–2011),PG,60 ,"Action, Adventure, Drama",7.5,"['Tom Welling', 'Michael Rosenbaum', 'Allison Mack', 'Kristin Kreuk']",132054,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas."
70,Bones,/title/tt0460627/?ref_=ttls_li_tt,71,(2005–2017),14,40 ,"Comedy, Crime, Drama",7.8,"['Emily Deschanel', 'David Boreanaz', 'Michaela Conlin', 'T.J. Thyne']",165926,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
71,Blue Bloods,/title/tt1595859/?ref_=ttls_li_tt,72,(2010– ),14,43 ,"Crime, Drama, Mystery",7.7,"['Donnie Wahlberg', 'Bridget Moynahan', 'Will Estes', 'Len Cariou']",43183,Revolves around a family of New York cops.
72,Californication,/title/tt0904208/?ref_=ttls_li_tt,73,(2007–2014),MA,28 ,"Comedy, Drama",8.3,"['David Duchovny', 'Natascha McElhone', 'Evan Handler', 'Pamela Adlon']",184150,"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women."
73,Black Books,/title/tt0262150/?ref_=ttls_li_tt,74,(2000–2004),PG,25 ,Comedy,8.5,"['Dylan Moran', 'Bill Bailey', 'Tamsin Greig', 'Paul Beech']",60259,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue."
74,Battlestar Galactica,/title/tt0407362/?ref_=ttls_li_tt,75,(2004–2009),14,44 ,"Action, Adventure, Drama",8.7,"['Edward James Olmos', 'Mary McDonnell', 'Jamie Bamber', 'James Callis']",169713,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
75,Misfits,/title/tt1548850/?ref_=ttls_li_tt,76,(2009–2013),MA,60 ,"Comedy, Drama, Fantasy",8.2,"['Nathan Stewart-Jarrett', 'Joe Gilgun', 'Iwan Rheon', 'Lauren Socha']",103654,A group of young offenders doing community service gets struck by lightning during a storm and start to develop superpowers.
76,Burn Notice,/title/tt0810788/?ref_=ttls_li_tt,77,(2007–2013),PG,44 ,"Action, Crime, Drama",8,"['Jeffrey Donovan', 'Gabrielle Anwar', 'Bruce Campbell', 'Sharon Gless']",76437,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.
77,Naruto: Shippuden,/title/tt0988824/?ref_=ttls_li_tt,78,(2007–2017),PG,24 ,"Animation, Action, Adventure",8.7,"['Alexandre Crepet', 'Junko Takeuchi', 'Maile Flanagan', 'Kate Higgins']",135986,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
78,What We Do in the Shadows,/title/tt7908628/?ref_=ttls_li_tt,79,(2019– ),MA,30 ,"Comedy, Fantasy, Horror",8.6,"['Kayvan Novak', 'Matt Berry', 'Natasia Demetriou', 'Harvey Guillén']",83942,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.
